id,commune,opening_hours
1273,"شارع بشير بوقادوم، Skikda","dimanche: 09:00–17:00"
1274,"Constantine","Non renseigné"
1275,"Annaba","dimanche: 09:00–17:00"
1276,"Annaba","dimanche: 08:00–14:00"
1277,"Sétif","dimanche: 08:00–16:00"
1278,"Sétif","dimanche: 09:00–21:00"
1279,"15 Rue Bakhouche Abdallah، Merahna W souk ahras","Non renseigné"
128,"Oran","dimanche: Ouvert 24h/24"
1280,"Constantine","dimanche: 09:00–16:00"
1281,"Chlef","dimanche: 09:00–16:30"
1282,"Cite Said Hamdine Les lgts384 Bt02 N03","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: 09:00–17:00"
1283,"Souk-Ahras","dimanche: 08:00–16:00"
1284,"750 logements bâtiment d48 rdc","dimanche: 08:30–12:0013:30–21:00"
1286,"Constantine","dimanche: 08:00–16:30"
1287,"Skikda","dimanche: 08:00–16:30"
1288,"Kouba","dimanche: 08:30–00:00"
1289,"Annaba","dimanche: 08:30–17:00"
129,"Tlemcen","Non renseigné"
1290,"Sétif","dimanche: 09:00–16:00"
1291,"Uv 20 promotion Dambri 700 logements","dimanche: 09:00–16:00"
1292,"Skikda","Non renseigné"
1293,"Hydra","dimanche: 09:00–20:00"
1294,"Setif","dimanche: 08:00–16:30"
1295,"Skikda","dimanche: 08:00–17:00"
1296,"Bir Mourad Raïs","dimanche: 09:00–17:00"
1297,"El Biar","dimanche: 08:00–16:00"
1298,"Bir Mourad Raïs","dimanche: 09:00–17:00"
1299,"Annaba","Non renseigné"
13,"Blida","dimanche: 08:30–18:00"
130,"Gdyel","dimanche: 08:00–18:00 | lundi: 08:00–18:00 | mardi: 08:00–18:00 | mercredi: 08:00–18:00 | jeudi: 08:00–18:00 | vendredi: Fermé | samedi: 08:00–18:00"
1300,"Constantine","dimanche: 09:00–15:00"
1301,"Sidi MHamed","dimanche: 09:00–18:00"
1302,"Ben Aknoun","dimanche: 09:00–17:00"
1303,"Alger Centre","dimanche: 09:00–20:00"
1304,"El Mouradia","dimanche: 09:00–18:00"
1305,"Mohammadia","dimanche: 09:00–17:30 | lundi: 09:00–22:00 | mardi: 09:00–22:00 | mercredi: 09:00–22:00 | jeudi: 09:00–17:30 | vendredi: Fermé | samedi: 09:00–22:00"
1306,"Constantine","dimanche: 08:00–16:00"
1307,"Annaba","Non renseigné"
1308,"Annaba","dimanche: 08:00–23:30"
131,"Blida","Non renseigné"
1311,"Constantine","dimanche: 08:00–16:00"
1312,"Setif","dimanche: 08:00–16:00"
1313,"Sétif","Non renseigné"
1314,"Ben Aknoun","dimanche: 09:00–18:00"
1315,"Sidi MHamed","dimanche: 08:00–23:00"
1316,"El Khroub","dimanche: 09:00–18:00"
1317,"Sétif","dimanche: 10:00–22:00"
1318,"El Khroub","dimanche: 08:00–17:00"
1319,"Cité mentouri bâtiment A1 n31 smk Constantine DZ،","dimanche: 07:30–16:00"
132,"ROUTE DE SIDI ACHOUR ANNABA DZ،","dimanche: 09:00–17:00"
